addressnbr,addressline1,city,state,zip,streetaddress,tradename,owner,phone,county,shortname,oldlat,oldlng,lat,lng
426,E LAMAR BOULEVARD SUITE 100,ARLINGTON,TX,76011,426 E LAMAR BOULEVARD SUITE 100,ARLINGTON LIQUOR STORE,KOUSALYAPUR LLC,882-323-4578,Tarrant,,32.76069626,-97.1103117,32.761,-97.1089
7889,HWY 83 SOUTH,ASHERTON,TX,78827,7889 HWY 83 SOUTH,ASHERTON LIQUOR STORE,"DELEON, ELIDORO JR (ET AL)",,Dimmit,,28.42466775,-99.73538188,28.4457,-99.7655
2087,W OAKLAWN SUITE 205,PLEASANTON,TX,78064,2087 W OAKLAWN SUITE 205,ATASCOSA LIQUOR,URRARGUIJO LIMITED LIABILITY COMPANY,830 569-8596,Atascosa,,28.94612449,-98.50384169,28.9398,-98.5112
8312,BURNET ROAD SUITE 113,AUSTIN,TX,78757,8312 BURNET ROAD SUITE 113,AUSTIN'S LIQUOR III,"CHUKWURAH, AUGUSTINE CHUKWU",(512) 491-0898,Travis,,30.3636656,-97.7294945,30.364,-97.7296
11721,W BELLFORT,HOUSTON,TX,77099,11721 W BELLFORT,AVALON DISCOUNT LIQUOR FINE WINE & BEER,"LALANI, KARIM NOORUDDIN",(281) 495-0663,Harris,,29.67076896,-95.58512222,29.6571,-95.5847
3906,AVENUE Q,LUBBOCK,TX,79412,3906 AVENUE Q,AVENUE Q LIQUOR & WINE,"SHRESTHA, PEMA CHOEZOAM",806-740-0000,Lubbock,,33.55824226,-101.8577299,33.5584,-101.856
10510,W PARMER LANE SUITE 118,AUSTIN,TX,787174876,10510 W PARMER LANE SUITE 118,AVERY RANCH WINE & SPIRITS,WEE DRAMS LLC,512-341-0166,Williamson,,30.496498,-97.7741912,30.4964,-97.7741
4801,S FREEWAY SUITE 125,FORT WORTH,TX,76115,4801 S FREEWAY SUITE 125,AXO LIQUOR,"PATEL, RAKESHKUMAR CHANDUBHAI",817-922-0888,Tarrant,,32.67878567,-97.33073989,32.6771,-97.3192
548,IH 20 NORTH,COLORADO CITY,TX,79512,548 IH 20 NORTH,B & B LIQUOR,CEE JAY'S INC.,325-728-8325,Mitchell,,32.31551312,-100.9177168,32.4125,-100.862
502,W 7TH,DALHART,TX,790222005,502 W 7TH,B & B LIQUOR,NEB-TEX OF DALHART LLC,806 249-5719,Dallam,,36.0595005,-102.5285497,36.0595,-102.529
605,FM 2353 NORTH SUITE B,GRAFORD,TX,76449,605 FM 2353 NORTH SUITE B,B & C LIQUOR,BANIYA & CHIPALU INCORPORATED,940-595-6869,Palo Pinto,,32.92627248,-98.42779661,32.9256,-98.4285
2500,MILLER AVENUE,FORT WORTH,TX,761054104,2500 MILLER AVENUE,B & D LIQUOR,"JACKSON, DORLINDA LESHAWN (ET AL)",(817) 531-2060,Tarrant,,32.72087739,-97.263291,32.7211,-97.2632
22704,LOOP 494 SUITE L,HOUSTON,TX,77339,22704 LOOP 494 SUITE L,B & G LIQUOR,MLP MANAGEMENT INC.,281-358-3049,Harris,,30.040379,-95.2511953,30.0404,-95.2512
2207,19TH STREET,HONDO,TX,78861,2207 19TH STREET,B & H SPIRITS AND MORE!,RIO VERDE BEVERAGES INC.,(830) 426-5753,Medina,,29.34630703,-99.15367473,29.3462,-99.1533
11229,LEOPARD STREET,CORPUS CHRISTI,TX,78410,11229 LEOPARD STREET,B & L DOUBLE SHOTS,B & L DOUBLE SHOTS LLC,361-815-1685,Nueces,,27.8461609,-97.58708553,27.8465,-97.588
125,HWY 36 NORTH,CALDWELL,TX,77836-7555,125 HWY 36 NORTH,B&C WINE & SPIRITS,CALDWELL DISCOUNT LIQUOR LLC,979-567-6700,Burleson ,,30.53508435,-96.6910479,30.5372,-96.6942
3403,COLLEGE AVENUE,SNYDER,TX,79549-4632,3403 COLLEGE AVENUE,B'S BEVERAGE BARN,B'S BEVERAGE BARN LLC,325-207-9251,Scurry,,32.70666959,-100.9191758,32.7083,-100.919
16817,THEISS MAIL RT RD,SPRING,TX,77379,16817 THEISS MAIL RT RD,B. F. L. LIQUOR,CHELSEA BLUE LLC,832-215-9513,Harris,,30.03910229,-95.53379128,30.0164,-95.5334
260,SPUR 114,STREETMAN,TX,75859,260 SPUR 114,BABYDOLLS WATERING HOLE,"KOOG, LATASHA NABORS",903-599-2229,Freestone,,31.88159499,-96.24021471,31.8649,-96.3182
1300,W MAIN STREET,PORT LAVACA,TX,77979,1300 W MAIN STREET,BAKER'S LIQUOR STORE,"PARKER, JOYCE GAIL",361-552-2866,Calhoun,,28.60937588,-96.63579921,28.6093,-96.6354
9695,SPENCER HWY,DEER PARK,TX,77536,9695 SPENCER HWY,BAKER'S LIQUOR STORE,SHREE DURJA INC.,281-889-4969,Harris,,29.66505972,-95.08799175,29.6652,-95.088
3314,ROSS AVENUE SUITE 150,DALLAS,TX,75204,3314 ROSS AVENUE SUITE 150,BAR & GARDEN,BAR & GARDEN L.L.C.,,Dallas,,32.79541603,-96.7890064,32.7955,-96.7886
13500,W AIRPORT BOULEVARD SUITE G,SUGAR LAND,TX,77478,13500 W AIRPORT BOULEVARD SUITE G,BARGAIN LIQUOR,A P & G INC.,(281) 980-4875,Fort Bend,,29.6514978,-95.6203937,29.6515,-95.6202
5815,BISSONNET STREET,BELLAIRE,TX,77401-4719,5815 BISSONNET STREET,BARGAIN LIQUOR #6,CMCT ENTERPRISES INC.,781-663-7978,Harris,,29.698831,-95.4834103,29.6996,-95.4831
9352,LONG POINT,HOUSTON,TX,77055,9352 LONG POINT,BARGAIN LIQUOR WAREHOUSE,INDRA HOLDINGS INC.,713-973-1016,Harris,,29.79753359,-95.49197494,29.7986,-95.5233
2728-30,MONTANA AVENUE,EL PASO,TX,79903-3714,2728-30 MONTANA AVENUE,BARREL HOUSE #1,ALL AMERICAN CITY REALTY CO.,915-598-9997,El Paso,,31.78163503,-106.4639148,31.7819,-106.463
1344,N ZARAGOZA SUITE D,EL PASO,TX,799367901,1344 N ZARAGOZA SUITE D,BARREL HOUSE #2,ALL AMERICAN CITY REALTY CO.,915-598-9997,El Paso,,31.72974557,-106.2978368,31.729,-106.298
420,REDD RD 'B',EL PASO,TX,79912,420 REDD RD 'B',BARREL HOUSE #20,ALL AMERICAN CITY REALTY CO.,915-598-9997,El Paso,,31.86339693,-106.5740762,31.8634,-106.574
2400,N MESA SUITE F,EL PASO,TX,79902,2400 N MESA SUITE F,BARREL HOUSE LIQUORS,ALL AMERICAN CITY REALTY CO.,915-598-9997,El Paso,,31.77480857,-106.5011149,31.7754,-106.501
6101,UPPER VALLEY ROAD SUITE 101,EL PASO,TX,79932,6101 UPPER VALLEY ROAD SUITE 101,BARREL HOUSE LIQUORS #25,ALL AMERICAN CITY REALTY CO.,915-598-9997,El Paso,,31.87941296,-106.6108199,31.8788,-106.611
4858,N MESA,EL PASO,TX,79912,4858 N MESA,BARREL HOUSE LIQUORS #27,ALL AMERICAN CITY REALTY CO.,915-593-0213,El Paso,,31.80784703,-106.5096414,31.8087,-106.51
5140,FAIRBANKS DRIVE SUITE 7 AND 8,EL PASO,TX,79930,5140 FAIRBANKS DRIVE SUITE 7 AND 8,BARREL HOUSE LIQUORS #30,ALL AMERICAN CITY REALTY CO.,915-355-6100,El Paso,,31.90273804,-106.4234815,31.9024,-106.423
6217,AIRPORT ROAD,EL PASO,TX,799252428,6217 AIRPORT ROAD,BARREL HOUSE LIQUORS #8,ALL AMERICAN CITY REALTY CO.,915-598-9997,El Paso,,31.78817471,-106.4092876,31.7885,-106.409
3354,OLD SPANISH TRAIL SUITE A,HOUSTON,TX,77021,3354 OLD SPANISH TRAIL SUITE A,BARRELS AND BOTTLES OST LLC,BARRELS AND BOTTLES OST LLC,,Harris,,29.70114413,-95.37165649,29.7009,-95.3717
1806,S BATTLEGROUND SUITE B,DEER PARK,TX,77536,1806 S BATTLEGROUND SUITE B,BATTLEGROUND LIQUOR #1,DEER PARK LIQUOR INC.,(281) 479-5004,Harris,,29.69575222,-95.09362668,29.6958,-95.0938
3928,OLD SPANISH TRAIL SUITE E,HOUSTON,TX,77021,3928 OLD SPANISH TRAIL SUITE E,BAYOU LAND LIQUOR,BAYOU LAND LIQUOR LLC,,Harris,,29.70238278,-95.35761529,29.7021,-95.3566
534,WAUGH DRIVE,HOUSTON,TX,77019,534 WAUGH DRIVE,BAYOU LIQUOR,"NGUYEN, LE CHAU THI",(713) 874-0144,Harris,,29.76105496,-95.3982719,29.76,-95.3986
3423,GARTH ROAD,BAYTOWN,TX,77521-3851,3423 GARTH ROAD,BAYTOWN DISCOUNT LIQUOR,SUN BLISS ASSOCIATES LLC,,Harris,,29.75850092,-94.9773714,29.7596,-94.9783
502,BURLESON STREET SUITE 101,CORPUS CHRISTI,TX,78402-1300,502 BURLESON STREET SUITE 101,BEACHSIDE LIQUOR STORE,JAY MADI INC.,361-882-7862,Nueces,,27.82358278,-97.38963248,27.8238,-97.3898
1350,E BEAR CREEK ROAD,GLENN HEIGHTS,TX,75154,1350 E BEAR CREEK ROAD,BEAR CREEK BEVERAGE & SPIRITS,VARDUN PETROLEUM LLC,972-217-1118,Dallas,,32.56051332,-96.82396802,32.5602,-96.8236
7101,COLLEYVILLE BOULEVARD SUITE B,COLLEYVILLE,TX,76034,7101 COLLEYVILLE BOULEVARD SUITE B,BEAR CREEK SPIRITS & WINE,BEAR CREEK SPIRITS AND WINE LLC,817-251-8789,Tarrant,,32.9109362,-97.1342396,32.9108,-97.1342
770,N ML KING JR PARKWAY,BEAUMONT,TX,77701,770 N ML KING JR PARKWAY,BEAUMONT LIQUOR,BVH LIQUOR LLC,409-223-1699,Jefferson,,30.08873252,-94.11034602,30.0888,-94.1105
705,S MAIN,VEGA,TX,79092,705 S MAIN,BEER BOX,BLACK & MYERS BEVERAGE CO LLC,806-335-6757,Oldham,,35.21150953,-102.2007282,35.2398,-102.428
5912,PADRE BOULEVARD,SOUTH PADRE ISLAND,TX,78597,5912 PADRE BOULEVARD,BEN'S LIQUOR,BEN'S LIQUORS LTD.,956-761-4720,Cameron,,26.13083048,-97.17086715,26.1308,-97.1708
3000,PADRE BOULEVARD,SOUTH PADRE ISLAND,TX,78597,3000 PADRE BOULEVARD,BEN'S LIQUOR,BEN'S LIQUORS LTD.,956-761-4720,Cameron,,26.10629721,-97.16808703,26.1061,-97.1681
1004,PADRE BOULEVARD SUITE E1,SOUTH PADRE ISLAND,TX,78597,1004 PADRE BOULEVARD SUITE E1,BEN'S LIQUOR,BEN'S LIQUORS LTD.,956-761-4720,Cameron,,26.09231341,-97.16454957,26.0922,-97.1645
3910,LOUETTA ROAD 'G',SPRING,TX,77388,3910 LOUETTA ROAD 'G',BENSEAN LIQUOR,BENSEAN INC.,281-907-0324,Harris,,30.0483735,-95.4753659,30.0484,-95.4754
1,FM 3351S SUITE 150,BOERNE,TX,78006,1 FM 3351S SUITE 150,BERGHEIM CELLARS,STK BERGHEIM LLC,(830) 229-5233,Kendall,,29.85535442,-98.72262159,29.8254,-98.5726
19311,HWY 87,LUBBOCK,TX,794239608,19311 HWY 87,BERNARDS BEER WINE & LIQUOR,"JAM, REZA SAID MOUSAVI",806-863-2745,Lubbock,,33.431812,-101.834512,33.4154,-101.825
12901,QUEENSBURY LANE,HOUSTON,TX,77079,12901 QUEENSBURY LANE,BERT WHEELER BEVERAGE STORE SPEC'S LIQUORS #49,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Harris,,29.777606,-95.5635786,29.7776,-95.5636
8459,HWY 19 NORTH,TRINITY,TX,75862,8459 HWY 19 NORTH,BEST BARGAIN BEVERAGE,"NGUYEN, KHANH HUNG",(936) 594-6813,Trinity,,30.95983167,-95.32384221,31.0468,-95.4211
5011,MILITARY PARKWAY SUITE B,DALLAS,TX,75227-1639,5011 MILITARY PARKWAY SUITE B,BEST BUY BEVERAGE,CTN INVESTMENT INC.,214 381 2932,Dallas,,32.7841,-96.7303,32.7841,-96.7303
17337,SPRING CYPRESS ROAD,CYPRESS,TX,77429,17337 SPRING CYPRESS ROAD,BEST BUY LIQUOR,KSP TRADING INC.,,Harris,,29.97208832,-95.69219342,29.9724,-95.6897
10502,HUFFMEISTER ROAD SUITE C,HOUSTON,TX,77065,10502 HUFFMEISTER ROAD SUITE C,BEST BUY LIQUOR,KSP TRADING INC.,,Harris,,29.9276178,-95.6281624,29.9277,-95.6284
6214,SCOTT STREET,HOUSTON,TX,77021,6214 SCOTT STREET,BEST HAPPY LIQUOR,"TRAN, DANNY",713-485-5504,Harris,,29.70125878,-95.35960846,29.6993,-95.3598
13954,OLD HUMBLE ROAD,HUMBLE,TX,773963321,13954 OLD HUMBLE ROAD,BEST LIQUOR,JASH LIQUOR LLC,281 441-4489,Harris,,29.9223545,-95.3024123,29.9223,-95.3024
3502,N 6TH STREET,ABILENE,TX,79603-5643,3502 N 6TH STREET,BEST PRICE LIQUOR,BEST PRICE LIQUOR LLC,325-701-9977,Taylor,,32.45538335,-99.76540711,32.4556,-99.7642
11023,TELEPHONE ROAD,HOUSTON,TX,77075,11023 TELEPHONE ROAD,BEST ROYAL LIQUOR,J.V. EDITION CORPORATION,713-987-2227,Harris,,29.6049548,-95.2855686,29.605,-95.2856
19620,KUYKENDAHL ROAD SUITE 160,SPRING,TX,77379,19620 KUYKENDAHL ROAD SUITE 160,BEST VAIN LIQUOR LLC,BEST VAIN LIQUOR LLC,,Harris,,30.0566101,-95.4947602,30.0567,-95.4948
1106,E BETHANY DRIVE SUITE A,ALLEN,TX,75002,1106 E BETHANY DRIVE SUITE A,BETHANY DISCOUNT LIQUOR,BETHANY ENTERPRISES INC.,,Collin,,33.0851352,-96.6466399,33.0853,-96.6467
9204,RICHMOND AVENUE,HOUSTON,TX,77063,9204 RICHMOND AVENUE,BEVERAGE BARN,Q & B STORE INC.,(713) 789-5347,Harris,,29.7296447,-95.525749,29.7295,-95.526
243,E CARRINGTON AVENUE,MARQUEZ,TX,778650723,243 E CARRINGTON AVENUE,BEVERAGE BARN,N & H BUSINESS ENTERPRISES INC.,903-529-1294,Leon,,31.23034754,-96.22809228,31.2426,-96.2544
6565,BABCOCK ROAD SUITE 18,SAN ANTONIO,TX,78249,6565 BABCOCK ROAD SUITE 18,BEVERAGE DELITE,MEHAT ENTERPRISES INCORPORATED,(210) 690-5098,Bexar,,29.5557922,-98.6144756,29.5561,-98.6144
2377,STEMMONS TRAIL,DALLAS,TX,75220,2377 STEMMONS TRAIL,BEVERAGE DEPOT,"GANJI, ALI SHAUN",214-350-0029,Dallas,,32.86017896,-96.88941364,32.8633,-96.893
6575,E NW HWY,DALLAS,TX,75214,6575 E NW HWY,BEVERAGE DEPOT,"GANJI, ALI SHAUN",214-823-4011,Dallas,,32.82861597,-96.74544845,32.8561,-96.7462
5050,LAKEVIEW PARKWAY,ROWLETT,TX,75088,5050 LAKEVIEW PARKWAY,BEVERAGE DEPOT #4,"GANJI, ALI SHAUN",214-823-4011,Dallas,,32.90764871,-96.55433457,32.9071,-96.554
10222,N STEMMONS FREEWAY,DALLAS,TX,75220,10222 N STEMMONS FREEWAY,BEVERAGE DEPOT #5,"GANJI, ALI SHAUN",,Dallas,,32.86237599,-96.89347555,32.8635,-96.893
218,HWY 3 SUITE A,LA MARQUE,TX,77568,218 HWY 3 SUITE A,BEVERAGE MART LIQUOR,JAI ASHAPURIMA CORPORATION,,Galveston,,29.3767398,-94.9686588,29.3768,-94.9686
4706-08,SPENCER HWY,PASADENA,TX,77505,4706-08 SPENCER HWY,BEVERAGE MART LIQUOR,JAI ASHAPURIMA CORPORATION,(281) 487-0848,Harris,,29.66523179,-95.17209356,29.6649,-95.1715
10491,KUYKENDAHL,THE WOODLANDS,TX,773822530,10491 KUYKENDAHL,BEVERAGE SHOPPE WINES & SPIRITS & CIGARS BEVERAGE SHOPPE,SPEC'S FAMILY PARTNERS LTD.,(713) 526-8787,Montgomery,,30.18084728,-95.5339023,30.1816,-95.534
3200,NW FREEWAY,WICHITA FALLS,TX,76306-4902,3200 NW FREEWAY,BEVERLY LIQUOR,L & T & M CORP.,940-855-3251,Wichita,,33.94514477,-98.52413801,33.9471,-98.5329
415,S COMMERCE STREET,LOCKHART,TX,78644,415 S COMMERCE STREET,BEVIES FINE WINE & SPIRITS,HOPSCOTCH LLC,512-699-6632,Caldwell,,29.8815497,-97.6709991,29.8816,-97.671
2404,VICTORY PARK LANE,DALLAS,TX,75219,2404 VICTORY PARK LANE,BIAGIO WINE & SPIRIT,BIAGIO & CO. LLC,,Dallas,,32.78864017,-96.8094146,32.7876,-96.8091
6619,FOREST HILL DRIVE SUITE 45,FOREST HILL,TX,76140-1260,6619 FOREST HILL DRIVE SUITE 45,BIG COUNTRY LIQUOR BEER & WINE,KARAM FAMILY ENTERPRISES INC.,817-483-9261,Tarrant,,32.6586452,-97.2686081,32.6592,-97.2688
28214,IH 10W SUITE 103,FAIR OAKS RANCH,TX,78006,28214 IH 10W SUITE 103,BIG COUNTRY LIQUOR LLC,BIG COUNTRY LIQUOR LLC,210-287-6693,Bexar,,29.85535442,-98.72262159,29.7176,-98.6631
3702,HWY 83S SUITE 105,LAREDO,TX,78046,3702 HWY 83S SUITE 105,BIG JIM'S DISCOUNT LIQUOR STORE,BIG JIM'S DISCOUNT LIQUOR STORE INC.,956-723-7721,Webb,,27.37489259,-99.34945369,27.4627,-99.478
4133,3RD STREET,WALNUT SPRINGS,TX,76690,4133 3RD STREET,BIG JOHN'S LIQUOR,BIG JOHN'S LIQUOR INC.,(254) 797-5000,Bosque,,32.05820899,-97.74976411,32.0576,-97.7497
3351,TURNER PLAZA DRIVE SUITE 110N,ABILENE,TX,79606,3351 TURNER PLAZA DRIVE SUITE 110N,BIG JOHNSON LIQUOR & BEER,BIG JOHNSON INVESTMENTS LLC,325-795-2441,Taylor,,32.36094757,-99.82696242,32.4042,-99.7641
1808,HWY 350 EAST,BIG SPRING,TX,79720,1808 HWY 350 EAST,BIG MIKE'S FARM STORE,3 BARR COOK LIQUOR LP,432-267-7215,Howard,,32.28946592,-101.46753,32.2901,-101.467
880,E LOOP 281 SUITE A,LONGVIEW,TX,75605,880 E LOOP 281 SUITE A,BIG PAPA'S LIQUOR BEER & WINE,"BIG PAPA'S LIQUOR, BEER & WINE LLC",903-757-7591,Gregg,,32.5278379,-94.7040546,32.5285,-94.7042
1302,N SWENSON STREET,STAMFORD,TX,79553,1302 N SWENSON STREET,BIG RED'S LIQUOR,BIG RED'S LIQUOR LLC,325-773-2806,Haskell,,32.93883767,-99.84264306,32.9589,-99.8029
4501,MILLER AVENUE,FORT WORTH,TX,76119,4501 MILLER AVENUE,BIG SMITH LIQUOR,"SMITH, SHAMONZ",,Tarrant,,32.6987955,-97.2626087,32.6989,-97.2627
4301,BOONVILLE ROAD SUITE 100,BRYAN,TX,77802,4301 BOONVILLE ROAD SUITE 100,BIG'S SPIRITS & WINE,SUNRISE GROCERS INC.,979-731-1055,Brazos,,30.6622551,-96.3016025,30.6621,-96.3017
2601,N MIDLAND DRIVE,MIDLAND,TX,79707,2601 N MIDLAND DRIVE,BILL'S BOTTLE SHOP,BOB FU INTERNATIONAL LLC,432-689-6944,Midland,,32.0091304,-102.1397272,32.0091,-102.14
2090,HWY 276,EAST TAWAKONI,TX,754728006,2090 HWY 276,BILLY'S LIQUOR,KL & LS CORPORATION,903 447-3141,Rains,,32.88592445,-95.87795129,32.8965,-95.9319
709,FM 616,BLESSING,TX,77419,709 FM 616,BILLY'S LIQUOR STORE,BLESSING LIBATIONS LLC,713-557-3452,Matagorda,,28.87171746,-96.22039007,28.8714,-96.2206
1427,IOWA PARK ROAD,WICHITA FALLS,TX,763065941,1427 IOWA PARK ROAD,BJ LIQUOR,"LIM, SOTHA",940-322-9832,Wichita,,33.92666565,-98.50959268,33.9267,-98.5098
600,E MOORE AVENUE SUITE 1,TERRELL,TX,75061,600 E MOORE AVENUE SUITE 1,BJ'S LIQUOR,HARJIT BUSINESS INC.,972-524-9758,Kaufman,,32.8260403,-96.96544213,32.7354,-96.2716
227,IH 30 NORTHEAST,CUMBY,TX,754332610,227 IH 30 NORTHEAST,BLACK JACK PACKAGE STORE,ADOBE TRADING COMPANY,(903) 994-2659,Hopkins,,33.13522718,-95.83946967,33.1307,-95.828
2824,N LOCUST STREET,DENTON,TX,762097618,2824 N LOCUST STREET,BLACK TIE LIQUORS,ANS INVESTMENTS INC.,940-383-0486,Denton ,,33.2402482,-97.1323314,33.2402,-97.1322
26411,HWY 380E SUITE B,AUBREY,TX,76227,26411 HWY 380E SUITE B,BLACK TIE LIQUORS #2,ANS INVESTMENTS INC.,940-440-6530,Denton ,,33.27391526,-96.99051085,33.2245,-96.9754
20205,FM 685 SUITE 225,PFLUGERVILLE,TX,78660,20205 FM 685 SUITE 225,BLACKHAWK LIQUOR,NKE L.L.C.,512-252-8993,Travis,,30.4840833,-97.5838657,30.4841,-97.5839
10100,WEST RD SUITE E,HOUSTON,TX,77064-6306,10100 WEST RD SUITE E,BLIND PIG LIQUOR,C&N ENTERPRISES LLC,281-469-9463,Harris,,29.90998205,-95.56879701,29.9103,-95.5686
8620,LONG POINT ROAD,HOUSTON,TX,77055-3002,8620 LONG POINT ROAD,BLU LIQUOR,"ALEXANDRE, KIMMY NATASHA",281-773-9021,Harris,,29.80310372,-95.50109315,29.8033,-95.5016
1721,PARKWAY DRIVE,LUBBOCK,TX,79403-4403,1721 PARKWAY DRIVE,BLUE BOX,ASTRO LIQUOR STORE L.L.C.,806-762-6199,Lubbock,,33.5942871,-101.8162453,33.5943,-101.816
907,N RICE STREET,HAMILTON,TX,76531,907 N RICE STREET,BLUE DOG LIQUOR,BLUE DOG LIQUOR STORE INC.,254-386-3250,Hamilton,,31.71895614,-98.11902229,31.7197,-98.1195
1149,HWY 6 SOUTH,HOUSTON,TX,77077,1149 HWY 6 SOUTH,BLUE SKY LIQUOR,"NGUYEN, TRANG THI",281-531-8456,Harris,,29.76735964,-95.64371728,29.7635,-95.6445
800,MAIN ST SUITE B,LIBERTY,TX,77575,800 MAIN ST SUITE B,BLUE'S LIQUOR,ASEES INC.,936-641-9271,Liberty,,30.06400818,-94.79585015,30.0634,-94.7955
3510,BLUEBONNET CIRCLE,FORT WORTH,TX,76109-2955,3510 BLUEBONNET CIRCLE,BLUEBONNET LIQUORS,BLUEBONNET LIQUORS LLC,817-926-0966,Tarrant,,32.69835747,-97.36035635,32.6986,-97.3613
1200,SE 10TH AVE STE B,AMARILLO,TX,79102,1200 SE 10TH AVE STE B,BLURRY'S,"TURMAN, JESSICA DANIELLE",806-340-4120,Potter,,35.2014159,-101.823606,35.2013,-101.824
9811,HWY 80 EAST 'A',MIDLAND,TX,79706,9811 HWY 80 EAST 'A',BNB LIQUOR AND BEER,"BURKEEN, RITA LOUISE",,Midland,,32.07131241,-101.928826,32.0713,-101.929
9505,FM 1472 SUITE 106,LAREDO,TX,78045,9505 FM 1472 SUITE 106,BOB'S LIQUOR,"CRUZ, DIANA L",956-235-0264,Webb,,27.5877012,-99.51072515,27.5888,-99.5104
301,HWY 259 NORTH,ORE CITY,TX,75683,301 HWY 259 NORTH,BOIL'S LIQUOR,"UNG, MICHELLE",903-968-8888,Upshur,,32.82299071,-94.73700269,32.806,-94.7192
32015,HWY 249 SUITE 104,PINEHURST,TX,77362,32015 HWY 249 SUITE 104,BONANZA LIQUOR #2,NASP INC.,(281) 357-0341,Montgomery,,30.13153926,-95.65327331,30.1312,-95.6536
305,IH 20 EAST,TERRELL,TX,75160,305 IH 20 EAST,BOO'S BEVERAGE CENTER,KESHANI INCORPORATED,972-524-0233,Kaufman,,32.76167423,-96.30015544,32.7029,-96.2743
4208,FALL CREEK HWY,ACTON,TX,760497954,4208 FALL CREEK HWY,BOOTLEGGER LIQUOR,"CUMMINGS, RONALD DONOVAN",(817) 326-4443,Hood,,32.4373689,-97.6820468,32.4374,-97.682
4517,HWY 377 EAST,GRANBURY,TX,76049,4517 HWY 377 EAST,BOOTLEGGER LIQUOR NO. 2,"CUMMINGS, RONALD DONOVAN",817-326-4443,Hood,,32.4626614,-97.7154748,32.4627,-97.7155
904,E MOORE,TERRELL,TX,75160,904 E MOORE,BOOTS LIQUOR,SONG SUN LLC,(972) 563-0446,Kaufman,,32.7349462,-96.26600336,32.7347,-96.2655
1801,CRD 1101 SOUTH,MIDLAND,TX,79706,1801 CRD 1101 SOUTH,BOOZE N CRUISE BEER BARN,BOOZE N CRUISE BEER BARN LLC,432-530-4195,Midland,,31.84553185,-102.0023676,32.0201,-101.93
307,N MAIN STREET,LONE STAR,TX,75568,307 N MAIN STREET,BOOZE STATION,BOOZE STATION INCORPORATED LLC,,Morris,,33.20496195,-94.67801859,32.9432,-94.7121
1718,MILAM STREET,UVALDE,TX,78801-3730,1718 MILAM STREET,BOTTLE 'N BAG,SOUTH TEXAS BEVERAGE LLC,830-278-2784,Uvalde,,29.2307592,-99.7930607,29.2309,-99.7932
315,E FISHER AVENUE,SABINAL,TX,78881,315 E FISHER AVENUE,BOTTLE 'N BAG - SABINAL,SOUTH TEXAS BEVERAGE LLC,830-278-2784,Uvalde,,29.31753794,-99.46981952,29.3187,-99.4634
111,IH 45S SUITE C,HUNTSVILLE,TX,77340,111 IH 45S SUITE C,BOTTLE AND BREW,THE M. HONG CORPORATION,(936) 291-0094,Walker,,30.64368651,-95.53985456,30.7165,-95.5711
1751,EASTCHASE PARKWAY,FORT WORTH,TX,76120,1751 EASTCHASE PARKWAY,BOTTLE GIANT,T.R. ABBO LLC,248-489-1880,Tarrant,,32.7535866,-97.1701016,32.7535,-97.1701
8631,BEECHNUT STREET,HOUSTON,TX,77036,8631 BEECHNUT STREET,BOTTLE KING LIQUOR,BOTTLE KING INC.,281-974-3999,Harris,,29.6902409,-95.5373924,29.6902,-95.5373
2320,KEMP BOULEVARD,WICHITA FALLS,TX,76309,2320 KEMP BOULEVARD,BOTTLE MART,ATV PHAN CORPORATION,940-337-1629,Wichita,,33.88969685,-98.52792136,33.8897,-98.5278
7109,S STAPLES SUITE A,CORPUS CHRISTI,TX,78413,7109 S STAPLES SUITE A,BOTTLE SHOP,BOTTLE SHOP LLC,(361) 993-2583,Nueces,,27.67698297,-97.38932521,27.6737,-97.3919
1314,HWY 83 EAST,LA FERIA,TX,78559,1314 HWY 83 EAST,BOTTLE SHOP LIQUOR STORE,CBJ VENTURES LLC,956-797-5700,Cameron,,26.14823774,-97.83135126,26.1986,-98.2063
5708,WURZBACH ROAD,LEON VALLEY,TX,78238,5708 WURZBACH ROAD,BOTTLECAP BEVERAGES,"VALENZUELA, ADAM LABIOS",210-557-0010,Bexar,,29.48596888,-98.6031874,29.4849,-98.6032
20760,HWY 79 EAST,NEW SUMMERFIELD,TX,75766,20760 HWY 79 EAST,BOTTLENECKS,BOTTLENECKS BEER AND WINE LLC,903-726-2028,Cherokee,,31.98109549,-95.10616751,31.9807,-95.0938
405,N GUN BARREL LANE,GUN BARREL CITY,TX,75156-3730,405 N GUN BARREL LANE,BOTTLES,POTEAN INC.,903-880-0022,Henderson,,32.28685344,-96.09982536,32.2869,-96.0998
2240,NAVIGATION SUITE 500,HOUSTON,TX,77003,2240 NAVIGATION SUITE 500,BOTTLES & BOOZE LIQUOR STORE,BOTTLE FINE WINES SPIRITS & CIGARS OF TEXAS LLC,,Harris,,29.7579601,-95.3474474,29.758,-95.3473
9100,VISCOUNT SUITE E,EL PASO,TX,79925,9100 VISCOUNT SUITE E,BOTTLES THE LIQUOR SHOP,"CAMACHO, ELIAS RENOVA (ET AL)",,El Paso,,31.77362521,-106.3692981,31.7731,-106.37
